configIndex,scope,detectorVersion,presetName,parameters,items,truth,detected,matched,miss,extra,precision,recall,f1,falsePositivesPerMinute,timingAdjustedMaeMs,timingAdjustedP95Ms
0,overall,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.08,""thresholdOffsetDb"":9}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
0,instrument=synthetic-practice-pad,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.08,""thresholdOffsetDb"":9}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
0,pattern=single-and-close-double,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.08,""thresholdOffsetDb"":9}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
0,tempoBpm=120.0,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.08,""thresholdOffsetDb"":9}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
1,overall,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.08,""thresholdOffsetDb"":12}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
1,instrument=synthetic-practice-pad,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.08,""thresholdOffsetDb"":12}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
1,pattern=single-and-close-double,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.08,""thresholdOffsetDb"":12}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
1,tempoBpm=120.0,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.08,""thresholdOffsetDb"":12}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
2,overall,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.08,""thresholdOffsetDb"":15}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
2,instrument=synthetic-practice-pad,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.08,""thresholdOffsetDb"":15}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
2,pattern=single-and-close-double,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.08,""thresholdOffsetDb"":15}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
2,tempoBpm=120.0,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.08,""thresholdOffsetDb"":15}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
3,overall,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.1,""thresholdOffsetDb"":9}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
3,instrument=synthetic-practice-pad,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.1,""thresholdOffsetDb"":9}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
3,pattern=single-and-close-double,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.1,""thresholdOffsetDb"":9}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
3,tempoBpm=120.0,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.1,""thresholdOffsetDb"":9}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
4,overall,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.1,""thresholdOffsetDb"":12}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
4,instrument=synthetic-practice-pad,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.1,""thresholdOffsetDb"":12}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
4,pattern=single-and-close-double,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.1,""thresholdOffsetDb"":12}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
4,tempoBpm=120.0,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.1,""thresholdOffsetDb"":12}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
5,overall,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.1,""thresholdOffsetDb"":15}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
5,instrument=synthetic-practice-pad,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.1,""thresholdOffsetDb"":15}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
5,pattern=single-and-close-double,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.1,""thresholdOffsetDb"":15}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
5,tempoBpm=120.0,phase-4-time-domain-1,practice-pad-baseline,"{""refinementRiseFraction"":0.1,""thresholdOffsetDb"":15}",1,7,7,7,0,0,1.0,1.0,1.0,0.0,0.0267857142857153,0.13125000000000484
